index,id,system,category,item,basic
TBL-01-00-265,Jlvnl34,Digestive Organs,Small and large intestine,Functional gastrointestinal disorders (irritable bowel syndrome),●
TBL-01-00-266,Jlvnl4s,Digestive Organs,Small and large intestine,Infectious enteritis,
TBL-01-00-267,Jlvnl48,Digestive Organs,Small and large intestine,Ischemic colitis,
TBL-01-00-268,Jlvnl3s,Digestive Organs,Small and large intestine disease,Ulcerative colitis,●
TBL-01-00-269,Jlvnl3w,Digestive Organs,Small and large intestine disease,Crohn's disease,●
TBL-01-00-270,Jlvnl40,Digestive Organs,Small and large intestine,Infantile diarrhea,
TBL-01-00-271,Jlvnl4U,Digestive Organs,Small and large intestine diseases,Cloacal anus,
TBL-01-00-272,Jlvnl4c,Digestive Organs,Small and large intestine,Hirschsprung's disease,
TBL-01-00-273,Jlvnl5A,Digestive Organs,Small and large intestine,Acute bleeding rectal ulcer,
TBL-01-00-274,Jlvnl5I,Digestive Organs,Small and large intestine diseases,Superior mesenteric artery occlusion,
TBL-01-00-275,Jlvnl4Q,Digestive Organs,Small and large intestine,Gastrointestinal polyposis,
TBL-01-00-276,Jlvnl28,Digestive Organs,Gastroduodenal disease,Acute gastroenteritis,●
TBL-01-00-277,Jlvnl4I,Digestive Organs,Small and large intestine,Drug-induced enteritis,
TBL-01-00-278,Jlvnl50,Digestive Organs,Liver disease,Hepatitis A,●
TBL-01-00-279,Jlvnl54,Digestive Organs,Liver disease,Hepatitis B,●
TBL-01-00-280,Jlvnl6A,Digestive Organs,Liver disease,Hepatitis C,●
TBL-01-00-281,Jlvnl6Q,Digestive Organs,Liver disease,Acute hepatitis,●
TBL-01-00-282,Jlvnl6Y,Digestive Organs,Liver disease,Chronic hepatitis,●
TBL-01-00-283,Jlvnl6g,Digestive Organs,Liver disease,Fulminant hepatitis,●
TBL-01-00-284,Jlvnl7c,Digestive Organs,Liver disease,Fatty liver,●
TBL-01-00-285,Jlvnl64,Digestive Organs,Liver disease,Alcoholic liver injury,●
TBL-01-00-286,Jlvnl68,Digestive Organs,Liver disease,Drug-induced liver injury,
TBL-01-00-287,Jlvnl7E,Digestive Organs,Liver disease,Liver abscess,
TBL-01-00-288,Jlvnl7I,Digestive Organs,Liver disease,Primary biliary cirrhosis <PBC,
TBL-01-00-289,Jlvnl7Q,Digestive Organs,Liver disease,Primary sclerosing cholangitis,
TBL-01-00-290,Jlvnl7Y,Digestive Organs,Liver disease,Autoimmune hepatitis,
TBL-01-00-291,Jlvnl6k,Digestive Organs,Liver disease,Portal hypertension,●
TBL-01-00-292,Jlvnl6s,Digestive Organs,Liver disease,Hepatic encephalopathy,●
TBL-01-00-293,Jlvnl6w,Digestive Organs,Liver disease,Liver cancer,●
TBL-01-00-294,Jlvnl5M,Digestive Organs,Biliary tract disease,Cholelithiasis,●
TBL-01-00-295,Jlvnl5U,Digestive Organs,Biliary tract disease,Cholecystitis,●
TBL-01-00-296,Jlvnl5Y,Digestive Organs,Biliary tract disease,Cholangitis,●
TBL-01-00-297,Jlvnl5g,Digestive Organs,Biliary tract disease,Gallbladder polyps,
TBL-01-00-298,Jlvnl5k,Digestive Organs,Biliary tract disease,Congenital dilatation of the biliary tract,
TBL-01-00-299,Jlvnl5s,Digestive Organs,Biliary tract disease,Pancreaticobiliary confluence disorder,
TBL-01-00-300,Jlvnl7k,Digestive Organs,Pancreatic disease,"Acute pancreatitis (alcoholic, cholelithiasis, idiopathic)",●
TBL-01-00-301,Jlvnl7o,Digestive Organs,Pancreatic disease,"Chronic pancreatitis (alcoholic, idiopathic)",●
TBL-01-00-302,Jlvnl7w,Digestive Organs,Pancreatic disease,Autoimmune pancreatitis,
TBL-01-00-303,Jlvnl70,Digestive Organs,"Peritoneal, abdominal wall and diaphragm diseases",Peritonitis,●
TBL-01-00-304,Jlvnl78,Digestive Organs,"Peritoneal, abdominal wall and diaphragm diseases","Hernia (slipped, fitted, strangulated)",
TBL-01-00-305,Jlvnl8E,Digestive Organs System,"Peritoneal, Abdominal Wall, and Diaphragm Diseases",Inguinal hernia,●
TBL-01-00-306,Jlvnl8Q,Renal and Urinary System (including fluid and electrolyte balance),Impairment of renal function,Acute kidney injury (AKI),●
TBL-01-00-307,Jlvnl8U,Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic kidney disease (CKD),●
TBL-01-00-308,Jlvnl8c,Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic renal failure,
TBL-01-00-309,Jlvnl8g,Renal and urinary tract system (including fluid and electrolyte balance),Electrolyte abnormalities,Hyper- and hyponatremia,●
TBL-01-00-310,Jlvnl8o,Renal and urinary tract system (including fluid and electrolyte balance),Electrolyte abnormalities,Hyperhypokalemia,●
TBL-01-00-311,Jlvnl8s,Renal and urinary tract system (including fluid and electrolyte balance),Abnormal electrolytes,Hyperhypocalcemia,●
TBL-01-00-312,Jlvnl80,Renal and urinary tract system (including fluid and electrolyte balance),Abnormal electrolytes,Hyper- and hypophosphatemia,
TBL-01-00-313,Jlvnl84,Renal and urinary tract system (including fluid and electrolyte balance),electrolyte abnormalities,Hyper- and hypomagnesemia,
TBL-01-00-314,Jlvnl9A,Renal and urinary tract system (including fluid and electrolyte balance),Acid-base imbalance,Acidosis (metabolic and respiratory),
TBL-01-00-315,Jlvnl9I,Renal and urinary tract system (including fluid and electrolyte balance),acid-base imbalance,Alkalosis (metabolic and respiratory),
TBL-01-00-316,Jlvnl9M,Renal and urinary tract system (including fluid and electrolyte balance),Primary Glomerular Disease,Acute glomerulonephritis,●
TBL-01-00-317,Jlvnl9U,Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,IgA nephropathy,●
TBL-01-00-318,Jlvnl9Y,Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Membranous nephropathy,●
TBL-01-00-319,Jlvnl9g,Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Focal segmental glomerulosclerosis,
TBL-01-00-320,Jlvnl9k,Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Microvariant group,●
TBL-01-00-321,Jlvnl9s,Renal and urinary tract system (including fluid and electrolyte balance),Primary Glomerular Disease,Membranous proliferative glomerulonephritis,
TBL-01-00-322,Jlvnl90,Renal and urinary tract system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Nephrosclerosis,
TBL-01-00-323,Jlvnl94,Renal and urinary tract system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Renal vascular hypertension,
TBL-01-00-324,Jlvnl-A,Renal and urinary tract system (including fluid and electrolyte balance),Tubular and Interstitial Diseases,Tubular acidosis,
TBL-01-00-325,Jlvnl-E,Renal and urinary tract system (including fluid and electrolyte balance),Tubular and Interstitial Diseases,Tubulointerstitial nephritis (acute and chronic),
TBL-01-00-326,Jlvnl-M,Renal and urinary tract system (including fluid and electrolyte balance),Tubular and interstitial diseases,Acute pyelonephritis,●
TBL-01-00-327,Jlvnl-Q,Renal and urinary tract system (including fluid and electrolyte balance),Renal disorders due to systemic diseases,Diabetic kidney disease,●
TBL-01-00-328,Jlvnl-Y,Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,IgA vasculitis,
TBL-01-00-329,Jlvnl-g,Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Amyloid nephropathy,
TBL-01-00-330,Jlvnl-w,Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Anti-glomerular basement membrane disease <anti-GBM disease,
TBL-01-00-331,Jlvnl-k,Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Lupus nephritis,
TBL-01-00-332,Jlvnl-s,Renal and urinary tract system (including fluid and electrolyte balance),Renal disorders due to systemic diseases,Vasculitis Syndrome,
TBL-01-00-333,Jlvnl-4,Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Polycystic kidney disease,
TBL-01-00-334,Jlvnl-8,Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Vesicoureteral reflux,
TBL-01-00-335,Jlvnl_E,Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Renal trauma,
TBL-01-00-336,Jlvnl_I,Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Urolithiasis,●
TBL-01-00-337,Jlvnl_g,Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Neurogenic bladder,
TBL-01-00-338,Jlvnl_Q,Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Cystitis,●
TBL-01-00-339,Jlvnl_U,Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Prostatitis,●
TBL-01-00-340,Jlvnl_c,Renal and urinary system (including fluid and electrolyte balance),Urinary Tract Diseases,Urethritis,●
TBL-01-00-341,Jlvnl_w,Reproductive system,Male Reproductive Organs Diseases,Male infertility,
TBL-01-00-342,Jlvnl_0,Reproductive system,Male Reproductive Organs Diseases,Prostatic hyperplasia,●
TBL-01-00-343,Jlvnl_8,Reproductive system,Male Reproductive Organs Diseases,Prostatitis,
TBL-01-00-344,JlvnmAA,Reproductive system,Male Reproductive Organs Diseases,Undescended testicle,
TBL-01-00-345,JlvnmAI,Reproductive system,Male Reproductive Organs Diseases,Scrotal masses,
TBL-01-00-346,JlvnmAQ,Reproductive system,Male Reproductive Organs Diseases,Testicular torsion,
TBL-01-00-347,JlvnmAo,Reproductive system,Female Reproductive Organs Diseases,Functional dysmenorrhea,●
TBL-01-00-348,JlvnmAU,Reproductive system,Female Reproductive Organs Diseases,Congenital anomalies of internal and external genital organs,
TBL-01-00-349,JlvnmAc,Reproductive system,Female Reproductive Organs Diseases,Ovarian dysfunction,
TBL-01-00-350,JlvnmA0,Reproductive system,Female Reproductive Organs Diseases,Menopausal disorders,●
TBL-01-00-351,JlvnmA4,Reproductive system,Female Reproductive Organs Diseases,Infertility,
TBL-01-00-352,JlvnmBA,Reproductive system,Female Reproductive Organs Diseases,"Uterine fibroids, uterine adenomyosis",●
TBL-01-00-353,JlvnmBE,Reproductive system,Female Reproductive Organs Diseases,Endometriosis,●
TBL-01-00-354,JlvnmBM,Reproductive System,Female Reproductive Organs Diseases,Vulvovaginal and pelvic infections,
TBL-01-00-355,JlvnmBg,Pregnancy and Delivery,Abnormal Pregnancy,Hyperemesis gravidarum,
TBL-01-00-356,JlvnmBk,Pregnancy and Delivery,Abnormal Pregnancy,Ectopic pregnancy,●
TBL-01-00-357,JlvnmBs,Pregnancy and Delivery,Abnormal Pregnancy,Miscarriage/Impending miscarriage,●
TBL-01-00-358,JlvnmBw,Pregnancy and Delivery,Abnormal Pregnancy,High-risk pregnancy,
TBL-01-00-359,JlvnmB4,Pregnancy and Delivery,Abnormal Pregnancy,Gestational hypertension,●
TBL-01-00-360,JlvnmCA,Pregnancy and Delivery,Abnormal Pregnancy,Multiple pregnancies,
TBL-01-00-361,JlvnmCE,Pregnancy and Delivery,Abnormal Pregnancy,"Water breaking during the first trimester, early water breaking",
TBL-01-00-362,JlvnmCM,Pregnancy and Delivery,Abnormal Pregnancy,Impending premature delivery,●
TBL-01-00-363,JlvnmCQ,Pregnancy and Delivery,Abnormal Pregnancy,Fetal dysfunction,
TBL-01-00-364,JlvnmCY,Pregnancy and Delivery,Abnormal Delivery,Premature birth,●
TBL-01-00-365,JlvnmCc,Pregnancy and Delivery,Abnormal Delivery,Weak labor,
TBL-01-00-366,JlvnmCk,Pregnancy and Delivery,Abnormal Delivery,Delayed labor,
TBL-01-00-367,JlvnmCo,Pregnancy and Delivery,Abnormal Delivery,Abnormal rotation,
TBL-01-00-368,JlvnmCw,Pregnancy and Delivery,Abnormal delivery,Placenta previa,
TBL-01-00-369,JlvnmC4,Pregnancy and Delivery,Abnormal delivery,Adhered placenta,
TBL-01-00-370,JlvnmC8,Pregnancy and Delivery,Abnormal delivery,Premature abruption of the normal placenta,
TBL-01-00-371,JlvnmDE,Pregnancy and Delivery,Abnormal delivery,Labor and delivery trauma,
TBL-01-00-372,JlvnmDI,Pregnancy and Delivery,Abnormal Birthing,Insufficient uterine restoration,
TBL-01-00-373,JlvnmDQ,Pregnancy and Delivery,Abnormal Decubitus,Postpartum fever,
TBL-01-00-374,JlvnmDU,Pregnancy and Delivery,Abnormal Birthing Beds,mastitis,
TBL-01-00-375,JlvnmDc,Pregnancy and Delivery,Obstetric hemorrhage,Flaccid hemorrhage,
TBL-01-00-376,JlvnmDg,Pregnancy and Delivery,Obstetric hemorrhage,Amniotic fluid embolism,
TBL-01-00-377,JlvnmDk,Pregnancy and Delivery,Obstetric hemorrhage,Disseminated intravascular coagulation (DIC),
TBL-01-00-378,JlvnmDo,Pregnancy and Delivery,Complicated pregnancy,anemia,
TBL-01-00-379,JlvnmDs,Pregnancy and Delivery,Complicated pregnancy,glucose intolerance,
TBL-01-00-380,JlvnmD0,Pregnancy and Delivery,Complicated pregnancy,thyroid disease,
TBL-01-00-381,JlvnmD8,Pregnancy and Delivery,Complicated pregnancy,Immune thrombocytopenia (ITP),
TBL-01-00-382,JlvnmEk,Pregnancy and Delivery,Complicated Pregnancy,TORCH syndrome,
TBL-01-00-383,JlvnmEA,Pregnancy and Delivery,Complicated Pregnancy,Hepatitis B,
TBL-01-00-384,JlvnmEI,Pregnancy and Delivery,Complicated Pregnancy,Hepatitis C,
TBL-01-00-385,JlvnmEM,Pregnancy and Delivery,Complicated Pregnancy,HIV/AIDS,
TBL-01-00-386,JlvnmEU,Pregnancy and Delivery,Complicated Pregnancy,HTLV-I infection,
TBL-01-00-387,JlvnmEY,Pregnancy and Delivery,Complicated Pregnancy,Parvovirus B19 infection,
TBL-01-00-388,JlvnmEg,Pregnancy and Delivery,Complicated Pregnancy,Group B streptococcal infection,
TBL-01-00-389,JlvnmEs,Children,Hematologic,Acute leukemia,●
TBL-01-00-390,JnekjMI,Child,Hematologic,Malignant lymphoma,
TBL-01-00-391,JlvnmE0,Childhood,Hematologic,Vitamin K deficiency,
TBL-01-00-392,JlvnmE4,Childhood,Nervous system,Febrile convulsion,●
TBL-01-00-393,JlvnmFA,Childhood,Nervous System,Cerebral palsy,●
TBL-01-00-394,JlvnmFE,child,Nervous System,Hydrocephalus,
TBL-01-00-395,JlvnmFM,child,Dermal system,Impetigo contagiosa,
TBL-01-00-396,JnekjMQ,child,Dermal system,Staphylococcal burn-like skin syndrome <SSSSS,
TBL-01-00-397,JlvnmFQ,child,Dermal system,Molluscum contagiosum,
TBL-01-00-398,JlvnmFY,child,Dermal system,Measles,●
TBL-01-00-399,JlvnmFg,child,Dermal system,Rubella,●
TBL-01-00-400,JlvnmFk,child,dermal system,Varicella,●
TBL-01-00-401,JlvnmFs,child,dermal system,Erythema Infectiosum,
TBL-01-00-402,JlvnmFw,child,Dermal System,"Hand, foot and mouth disease",
TBL-01-00-403,JlvnmF4,child,Circulatory System,Atrial septal defect,
TBL-01-00-404,JlvnmF8,child,Cardiovascular System,Ventricular septal defect,
TBL-01-00-405,JlvnmGE,child,Cardiovascular System,Open ductus arteriosus,
TBL-01-00-406,JlvnmGM,child,Cardiovascular System,Tetralogy of Fallot,
TBL-01-00-407,JlvnmGQ,child,Respiratory System,Croup syndrome,
TBL-01-00-408,JlvnmGY,child,Respiratory system,Bronchiolitis,●
TBL-01-00-409,JlvnmGc,child,Respiratory system,Bronchial asthma (including cough asthma),●
TBL-01-00-410,JlvnmGk,child,Digestive System,Hypertrophic pyloric stenosis,
TBL-01-00-411,JlvnmGo,child,Digestive System,anal fistula,
TBL-01-00-412,JlvnmGs,child,Digestive system,Hirschsprung's disease,
TBL-01-00-413,JlvnmGw,child,Digestive Organs,Intestinal stacking,●
TBL-01-00-414,JlvnmG0,child,Digestive Organs,Constipation,
TBL-01-00-415,JlvnmG8,child,Digestive Organs,Infantile diarrhea,●
TBL-01-00-416,JlvnmHE,child,Digestive Organs,Biliary atresia,
TBL-01-00-417,JlvnmHI,child,Digestive Organs,Inguinal hernia,●
TBL-01-00-418,JlvnmHQ,child,Kidney,Hemolytic-uremic syndrome <HUS,
TBL-01-00-419,JlvnmHU,child,Kidney,Nephrotic syndrome,●
TBL-01-00-420,JlvnmHc,child,Kidney,Purpura nephritis,
TBL-01-00-421,JlvnmHg,child,Kidney,Congenital malformation of the renal urinary tract,
TBL-01-00-422,JlvnmHo,child,Kidney,Vesicoureteral reflux,
TBL-01-00-423,JlvnmHw,child,Endocrine System & Metabolism,Short stature with growth hormone deficiency,
TBL-01-00-424,JlvnmH0,child,Endocrine System & Metabolism,Congenital adrenal cortical hyperplasia,
TBL-01-00-425,JlvnmH8,child,Endocrine System & Metabolism,Acetoneemic emesis,
TBL-01-00-426,JlvnmIA,child,Mental system,Autism spectrum disorder <ASD,
TBL-01-00-427,JlvnmII,child,Mental system,Attention/deficit hyperactivity disorder <ADHD,
TBL-01-00-428,JlvnmIM,child,Mental system,Localized Learning Disorder,
TBL-01-00-429,JlvnmIQ,child,Mental system,Tic disorders,
TBL-01-00-430,JlvnmIU,child,Psyche System,Psychosomatic disorders,
TBL-01-00-431,JlvnmI4,child,Immunology & Allergy,IgA vasculitis,
TBL-01-00-432,JlvnmJA,child,Immunology/Allergy,Kawasaki disease,
TBL-01-00-433,JlvnmJE,child,Chromosome Aberrations,Down's disease,
TBL-01-00-434,JlvnmJM,child,Newborn,Neonatal pseudodeath,
TBL-01-00-435,JlvnmJU,child,Newborn,Neonatal respiratory distress syndrome (IRDS),
TBL-01-00-436,JlvnmJY,child,Newborn,Neonatal jaundice (hyperbilirubinemia),
TBL-01-00-437,JlvnmJg,child,Newborn,Premature low birth weight,
TBL-01-00-438,JlvnmJk,child,newborn,Fetal aspiration syndrome,
TBL-01-00-439,JlvnmJs,child,newborn,Neonatal transient hypercapnia,
TBL-01-00-440,JlvnmJw,child,Emergency,Sudden infant death syndrome (SIDS),
TBL-01-00-441,JlvnmJ4,child,Emergency,Abused child syndrome,
TBL-01-00-442,JlvnmJ8,Breast,None,"Benign breast disease (mastitis, mastopathy)",
TBL-01-00-443,JlvnmKI,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Acromegaly,
TBL-01-00-444,JlvnmKQ,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Cushing's disease,
TBL-01-00-445,JlvnmKY,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Hyperprolactinemia,
TBL-01-00-446,JlvnmKk,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Hypopituitarism,
TBL-01-00-447,JlvnmKo,"Endocrine, Nutritional and Metabolic Systems",Interventricular and Pituitary Diseases,Central enuresis,
TBL-01-00-448,JlvnmKw,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),
TBL-01-00-449,JlvnmK0,"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Pituitary tumor,
TBL-01-00-450,JlvnmK8,"Endocrinology, Nutrition and Metabolism",Thyroid disease,Hyperthyroidism,●
TBL-01-00-451,JlvnmLA,"Endocrinology, Nutrition and Metabolism",Thyroid disease,Hypothyroidism,●
TBL-01-00-452,JlvnmLE,"Endocrinology, Nutrition and Metabolism",Thyroid diseases,"Thyroiditis (chronic, painless, subacute)",
TBL-01-00-453,JlvnmLI,"Endocrinology, Nutrition and Metabolism",Parathyroid disorders,Hyperparathyroidism,
TBL-01-00-454,JlvnmLQ,"Endocrinology, Nutrition and Metabolism",Parathyroid disorders,Hypoparathyroidism,
TBL-01-00-455,JlvnmLU,"Endocrinology, Nutrition and Metabolism",Parathyroid Diseases,Hypercalcemia associated with malignancy,
TBL-01-00-456,JlvnmLc,"Endocrinology, Nutrition and Metabolism",Adrenocortical and Medullary Diseases,Cushing's syndrome,
TBL-01-00-457,JlvnmLg,"Endocrinology, Nutrition and Metabolism",Adrenocortical and Medullary Diseases,Excess aldosterone,
TBL-01-00-458,JlvnmLo,"Endocrinology, Nutrition and Metabolism",Adrenocortical and Medullary Diseases,Primary aldosteronism,
TBL-01-00-459,JlvnmLs,"Endocrinology, Nutrition and Metabolism",Adrenocortical and Medullary Diseases,Adrenal insufficiency (acute and chronic (Addison's disease)),
TBL-01-00-460,JlvnmL0,"Endocrinology, Nutrition and Metabolism",Abnormalities of Glucose Metabolism,Type 1 diabetes mellitus,●
TBL-01-00-461,JlvnmL8,"Endocrinology, Nutrition and Metabolism",Abnormalities of Glucose Metabolism,Type 2 diabetes,●
TBL-01-00-462,JlvnmMs,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Hypoglycemia,
TBL-01-00-463,JlvnmMA,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Diabetic ketoacidosis,●
TBL-01-00-464,JlvnmMI,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Hyperglycemia-hyperosmotic syndrome,●
TBL-01-00-465,JlvnmMM,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Lactic acidosis,
TBL-01-00-466,JlvnmMU,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Diabetic retinopathy,●
TBL-01-00-467,JlvnmMY,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Diabetic nephropathy,●
TBL-01-00-468,JlvnmMg,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Diabetic neuropathy,●
TBL-01-00-469,JlvnmMk,"Endocrinology, Nutrition and Metabolism",abnormal glucose metabolism,Foot lesions,●
TBL-01-00-470,JlvnmMw,"Endocrinology, Nutrition and Metabolism",abnormal lipid metabolism,Dyslipidemia,●
TBL-01-00-471,JlvnmM4,"Endocrinology, Nutrition and Metabolism",abnormal lipid metabolism,Obesity,
TBL-01-00-472,JlvnmNA,"Endocrinology, Nutrition and Metabolism","Metabolic disorders of vitamins, nucleic acids, and others",Vitamin deficiency,
TBL-01-00-473,JlvnmNE,"Endocrinology, Nutrition and Metabolism","Metabolic disorders of vitamins, nucleic acids, and others",Hyperuricemia and gout,●
TBL-01-00-474,JlvnmNM,"Endocrinology, Nutrition and Metabolism","Metabolic disorders of vitamins, nucleic acids, and others",Systemic amyloidosis,
TBL-01-00-475,JlvnmNQ,"Endocrinology, Nutrition and Metabolism",Pediatric diseases,Short stature with growth hormone deficiency,
TBL-01-00-476,JlvnmNY,"Endocrine, Nutritional and Metabolic System",Pediatric disease,Congenital adrenocortical hyperplasia,
TBL-01-00-477,JlvnmNk,Eye and vision system,None,"Refractive error (myopia, hyperopia, astigmatism) and dysregulation",
TBL-01-00-478,JlvnmNs,Ocular and Visual System,None,Conjunctivitis and keratitis,●
TBL-01-00-479,JlvnmOk,Eye & Vision,None None,Chemical damage (alkali and acid),
TBL-01-00-480,JlvnmNw,Ocular and Visual System,None,Mastoid tumors,
TBL-01-00-481,JlvnmN4,Ocular and Visual System,None,Cataract,●
TBL-01-00-482,JlvnmN8,Ocular and Visual System,None,Glaucoma,●
TBL-01-00-483,JlvnmOc,Eye & Vision,None None,"Optic neuritis (disease), stasis papillae",
TBL-01-00-484,JlvnmOY,Eye & Vision,None None,Uveitis,
TBL-01-00-485,JlvnmOQ,Eye & Vision,None None,"Fundus changes due to diabetes and hypertension (e.g., diabetic retinopathy)",●
TBL-01-00-486,JlvnmOE,Eye & Vision,None None,Rhegmatogenous retinal detachment,
TBL-01-00-487,JlvnmOI,Eye & Vision,None None,Age-related macular degeneration and retinitis pigmentosa,
TBL-01-00-488,JlvnmOo,Eye and Vision,None None,Retinal vein occlusion and arterial occlusion,
TBL-01-00-489,JlvnmO0,"Otorhinolaryngology, Throat, and Oral cavity",None None,"Otitis media (acute, chronic, exudative, pearly)",●
TBL-01-00-490,JlvnmO8,"Otorhinolaryngology, Throat, Oral cavity",None None,Otitis externa,
TBL-01-00-491,JlvnmPI,"Otorhinolaryngology, oropharynology, and oral cavity",None None,"Hearing loss (noise, drug, sudden, senile)",
TBL-01-00-492,JlvnmPM,"Otorhinolaryngology, oropharynology, and oral cavity",None None,Hearing loss in infants,
TBL-01-00-493,JlvnmPc,"Otorhinolaryngology, oropharyngology, and oral cavity",None None,"Motion sickness (e.g., dizziness, dizziness of the head)",
TBL-01-00-494,JlvnmPg,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Benign paroxysmal positional vertigo,●
TBL-01-00-495,JlvnmPo,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Ménière's disease,●
TBL-01-00-496,JlvnmPs,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Vestibular neuritis,
TBL-01-00-497,JlvnmP0,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Rhinorrhea,●
TBL-01-00-498,JlvnmP4,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Sinusitis (acute and chronic),●
TBL-01-00-499,JlvnmQA,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Allergic rhinitis,●
TBL-01-00-500,JlvnmQI,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Rhinitis,
TBL-01-00-501,JlvnmQU,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Pharyngitis,●
TBL-01-00-502,JlvnmQY,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Laryngitis,
TBL-01-00-503,JlvnmQg,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Epiglottitis,
TBL-01-00-504,JlvnmS0,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None,Vocal cord polyps,
TBL-01-00-505,JlvnmQM,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Tonsillitis,
TBL-01-00-506,JlvnmQk,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Peritonsillitis,
TBL-01-00-507,JlvnmQs,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Inflammatory disease of nasopharynx,Abscess,
TBL-01-00-508,JlvnmSo,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Hypertrophy of palatine tonsils,
TBL-01-00-509,JlvnmQw,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None,dental caries,
TBL-01-00-510,JlvnmQ4,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,"Periodontal and other dental diseases, including systemic effects and management of oral function",
TBL-01-00-511,JlvnmQ8,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Angulus stomatitis,
TBL-01-00-512,JlvnmRE,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Stomatitis,
TBL-01-00-513,JlvnmRM,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,Glossitis,
TBL-01-00-514,JlvnmRo,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Salivary gland disease,Sialolithiasis,
TBL-01-00-515,JlvnmTI,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Head and neck diseases,"Cervical lymph node metastasis, etc.",
TBL-01-00-516,JlvnmRw,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Salivary gland disease,Sjögren's syndrome,
TBL-01-00-517,JlvnmR8,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None,Temporomandibular joint disorder,
TBL-01-00-518,JlvnmS4,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Head and neck diseases,Cervical lymphadenitis,
TBL-01-00-519,JlvnmTA,"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",Head and neck diseases,Cervical abscess,
